"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 02 00:11:25 GMT 2023","Thu Feb 02 00:11:26 GMT 2023","1016","Surefire suite","Surefire test","ch.card2brain.card2braine2e.SignInTest","ch.card2brain.card2braine2e.SignInTest","signInTest","signInTest",""
"broken","Thu Feb 02 00:11:24 GMT 2023","Thu Feb 02 00:11:25 GMT 2023","981","Surefire suite","Surefire test","ch.card2brain.card2braine2e.LoginInTest","ch.card2brain.card2braine2e.LoginInTest","logInTest","logInTest",""
