"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 01 23:55:32 GMT 2023","Wed Feb 01 23:55:33 GMT 2023","940","Surefire suite","Surefire test","ch.card2brain.card2braine2e.SignInTest","ch.card2brain.card2braine2e.SignInTest","signInTest","signInTest",""
"passed","Wed Feb 01 23:55:32 GMT 2023","Wed Feb 01 23:55:32 GMT 2023","643","Surefire suite","Surefire test","ch.card2brain.card2braine2e.LoginInTest","ch.card2brain.card2braine2e.LoginInTest","logInTest","logInTest",""
