"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Jan 31 21:40:33 GMT 2023","Tue Jan 31 21:40:33 GMT 2023","2","Surefire suite","Surefire test","ch.card2brain.card2braine2e.SignInTest","ch.card2brain.card2braine2e.SignInTest","logInTest","logInTest",""
"skipped","Tue Jan 31 21:40:33 GMT 2023","Tue Jan 31 21:40:33 GMT 2023","2","Surefire suite","Surefire test","ch.card2brain.card2braine2e.SignInTest","ch.card2brain.card2braine2e.SignInTest","signInTest","signInTest",""
"broken","Tue Jan 31 21:40:33 GMT 2023","Tue Jan 31 21:40:33 GMT 2023","2","Surefire suite","Surefire test","ch.card2brain.card2braine2e.SignInTest","ch.card2brain.card2braine2e.SignInTest","init","init",""
