"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 31 22:26:46 GMT 2023","Tue Jan 31 22:26:46 GMT 2023","445","Surefire suite","Surefire test","ch.card2brain.card2braine2e.SignInTest","ch.card2brain.card2braine2e.SignInTest","logInTest","logInTest",""
"passed","Tue Jan 31 22:26:46 GMT 2023","Tue Jan 31 22:26:47 GMT 2023","535","Surefire suite","Surefire test","ch.card2brain.card2braine2e.SignInTest","ch.card2brain.card2braine2e.SignInTest","signInTest","signInTest",""
