"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jan 31 20:30:05 GMT 2023","Tue Jan 31 20:30:05 GMT 2023","5","Surefire suite","Surefire test","ch.card2brain.card2braine2e.SignInTest","ch.card2brain.card2braine2e.SignInTest","init","init",""
"skipped","Tue Jan 31 20:30:05 GMT 2023","Tue Jan 31 20:30:05 GMT 2023","4","Surefire suite","Surefire test","ch.card2brain.card2braine2e.SignInTest","ch.card2brain.card2braine2e.SignInTest","signInTest","signInTest",""
