"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Feb 04 23:14:09 GMT 2023","Sat Feb 04 23:14:10 GMT 2023","355","Surefire suite","Surefire test","ch.card2brain.card2braine2e.SignInTest","ch.card2brain.card2braine2e.SignInTest","signInTest","signInTest",""
"broken","Sat Feb 04 23:14:09 GMT 2023","Sat Feb 04 23:14:09 GMT 2023","320","Surefire suite","Surefire test","ch.card2brain.card2braine2e.LoginInTest","ch.card2brain.card2braine2e.LoginInTest","logInTest","logInTest",""
